year,kepco_hydroGen,kepco_hydroPump,kepco_hydroSum,kepco_hydro,kepco_steamAnth,kepco_steamBit,kepco_steamHeavy,kepco_steamLNG,kepco_steamSum,kepco_combinedGen,kepco_combinedHeat,kepco_combinedSum,kepco_group,kepco_internal,kepco_alternative,kepco_nuclear,kepco_sum,other_hydroGen,kepco_hydroMicro,other_hydroSum,other_hydro,other_steamHeavy,other_combinedGen,other_combinedHeat,other_combinedSum,other_group,other_alternative,other_GA,other_sum,public_hydroGen,public_hydroPump,public_hydroMicro,public_hydroSum,public_hydro,hydro,public_steamAnth,public_steamBit,public_steamHeavy,public_steamLNG,public_steamSum,public_combinedGen,public_combinedHeat,public_combinedSum,public_internal,public_nuclear,public_group,public_alternative,alternative,public_GA,public_sum,nonUtil_purchased,nonUtil_self,nonUtil_sum,PP,PN,alternative_full
2004,1491142,1550355,3041497,1491142,5787070,122760316,16084006,733318,145364710,40608047,7044404,47652451,0,406895,10822,130714816,327191187,2707206,112732,2819938,2819938,0,4816914,2982576,7799490,0,0,3891899,14511327,4198348,1550355,112732,5861434,4311079,4311079,5787070,122760316,16084006,733318,145364710,45424961,10026980,55451941,406895,130714816,3552538,350183,350183,3902721,341702514,445453,25885585,26331038,342147967,368033552,4661262
2005,1351427,1515588,2867016,1351428,5789778,129101944,15529107,786366,151207195,41592643,6718302,48310945,0,575339,18863,146779023,349758383,2184144,137729,2321873,2321873,0,6248041,2897912,9145953,0,0,3143782,14611607,3535571,1515588,137729,5188888,3673300,3673300,5789778,129101944,15529107,786366,151207195,47840684,9616214,57456898,575339,146779023,2758544,404101,404101,3162645,364369990,269341,24840181,25109522,364639331,389479512,4077401
2006,1162850,1751083,2913934,1162851,5709388,134636585,14306787,1258155,155910915,46977024,7196749,54173773,0,677296,21857,148748887,362446663,2163431,141256,2304687,2304687,0,10385065,2579503,12964568,0,0,3086097,18355353,3326281,1751083,141256,5218621,3467538,3467538,5709388,134636585,14306787,1258155,155910915,57362089,9776252,67138342,677296,148748887,2596731,511223,511223,3107954,380802016,378693,21808234,22186927,381180709,402988943,3978761
2007,1368478,1410813,2779290,1368477,6061545,149623092,15702736,2027701,173415074,53104572,7359635,60464207,0,578356,26955,142937164,380201047,2106791,156381,2263172,2263172,0,12732371,3208840,15941211,0,0,3889009,22093391,3475269,1410813,156381,5042462,3631649,3631649,6061545,149623092,15702736,2027701,173415074,65836943,10568475,76405418,578356,142937164,3085140,830824,830824,3915964,402294438,830063,22282788,23112851,403124501,425407289,4462473
2008,1343461,2492539,3836000,1343461,6928993,167227037,7981563,1517763,183655356,48563484,7345769,55909252,0,502708,68619,150957936,394929871,1581093,145558,1726650,1726650,0,15248475,3361624,18610099,0,0,6359229,26695978,2852127,2492539,217984,5562651,3070112,3070112,6928993,167227037,7981563,1517763,183655356,63811959,10707393,74519352,502708,150957936,5054422,1373425,1373425,6427847,421625849,729277,20255832,20985109,422355126,442610958,4443537
2009,1262720,2827991,4090711,1262720,7977658,185825633,11970100,761682,206535073,41111274,6468635,47579909,0,696953,106104,147770807,406779556,1425109,125343,1550452,1550452,0,13996856,2909244,16906100,0,0,7511502,25968054,2596100,2827991,217071,5641162,2813171,2813171,7977658,185825633,11970100,761682,206535073,55108130,9377879,64486009,696953,147770807,5826998,1790609,1790609,7617606,432747610,856135,18843716,19699851,433603745,452447461,4603780
2010,1602608,2789934,4392542,1602608,8359873,189927487,10874371,2287541,211449271,61327401,8754053,70081455,0,730695,134491,148595712,435384166,1881192,198169,2079361,2079361,0,20236407,3694276,23930683,0,0,12423799,38433844,3339560,2789934,342409,6471903,3681969,3681969,8359873,189927487,10874371,2287541,211449271,81563808,12448329,94012138,730695,148595712,8080233,4478058,4478058,12558291,473818009,842196,20368158,21210354,474660205,495028363,8160027
2011,1581969,3232985,4814954,1581969,8503983,191011864,9456338,2232618,211204803,64369566,7298519,71668085,0,820533,177742,154723107,443409223,2739934,275763,3015698,3015698,0,26083420,3727879,29811299,0,0,19843712,52670709,4178868,3232985,418799,7830652,4597667,4597667,8503983,191011864,9456338,2232618,211204803,90452986,11026398,101479384,820533,154723107,12429067,7592387,7592387,20021454,496079932,813434,21274450,22087884,496893366,518167816,12190054
2012,1456362,3683262,5139624,1456362,8767762,190561957,13553420,3452866,216336004,67168770,8582367,75751137,0,752070,210051,150327293,448516180,2136735,418640,2512677,2512677,0,30379691,4751106,35130796,12912737,8365119,21320555,58964028,3440018,3683262,571720,7695000,4011738,4011738,8767762,190561957,13553420,3452866,216336004,97548461,13333473,110881933,752070,150327293,12912737,8617869,8617869,21530606,507480208,2094121,21627537,23721658,509574329,531201866,12629607
2013,1574668,4104661,5679329,1574668,8054488,193064345,13940534,3525889,218585257,76436267,8124500,84560767,0,740935,406403,138783973,448756663,2223572,491028,2714600,2714600,0,35193242,4646002,39839244,14403169,9753255,24156424,66710267,3798240,4104661,491028,8393928,4289267,4289267,8054488,193064345,13940534,3525889,218585257,111629509,12770502,124400011,740935,138783973,14403169,10159658,10159658,24413341,515466931,1680942,20021403,21702345,517147873,537169276,14448925
2014,907498,5068129,5975627,907498,8506060,195259331,6838457,568123,211171971,60679482,4711552,65391034,2743209,655810,570296,156406511,442914458,1354640,489281,1843921,1843921,0,43622010,2698422,46320431,16204886,14125394,30330280,78494632,2135681,5068129,615737,7819548,2751419,2751419,8506060,195259331,6838457,568123,211171971,104301491,7409973,111711465,655810,156406511,18948095,14695690,14695690,33643785,521409090,561813,20174021,20735834,521970903,542144924,17447109
