year,steamAnth,steamAnthRate,steamBitu,steamBituRate,petroleum,petroleumRate,LNG,LNGRate,hydroPump,hydroPumpRate,nuclear,nuclearRate,group,groupRate,newRenew,newRenewRate,total
2003,1191,2.12,14740,26.3,4526,8.07,14623,26.09,2300,4.1,15716,28.04,1296,2.31,1660,2.96,56053
2004,1125,1.88,16340,27.25,4561,7.61,15851,26.44,2300,3.84,16716,27.88,1382,2.3,1687,2.81,59961
2005,1125,1.81,16840,27.05,4605,7.4,16552,26.59,2300,3.69,17716,28.46,1382,2.22,1738,2.79,62258
2006,1125,1.72,17340,26.47,4685,7.15,17541,26.77,3900,5.95,17716,27.04,1382,2.11,1825,2.79,65514
2007,1125,1.65,19340,28.33,4792,7.02,18048,26.44,3900,5.71,17716,25.95,893,1.31,2454,3.59,68268
2008,1125,1.55,22580,31.15,4795,6.61,18581,25.63,3900,5.38,17716,24.44,1460,2.01,2333,3.22,72491
2009,1125,1.53,23080,31.41,4826,6.57,18462,25.13,3900,5.31,17716,24.11,1610,2.19,2751,3.74,73470
2010,1125,1.48,23080,30.34,4830,6.35,19988,26.27,3900,5.13,17716,23.29,2067,2.72,3374,4.43,76078
2011,1125,1.42,23080,29.09,4834,6.09,20687,26.07,4700,5.92,18716,23.59,2623,3.31,3577,4.51,79342
2012,1125,1.38,23409,28.62,4317,5.28,20687,25.29,4700,5.75,20716,25.32,2623,3.21,4229,5.17,81806
2013,1125,1.29,23409,26.92,4280,4.92,24361,28.01,4700,5.4,20716,23.82,3106,3.57,5273,6.06,86969
2014,1125,1.21,25149,26.98,3850,4.13,26742,28.69,4700,5.04,20716,22.22,4693,5.03,6241,6.7,93216
2015,1125.0,1.14,26169.0,26.61,3850.0,3.92,28246.0,28.73,4700.0,4.78,21716.0,22.09,5165.0,5.25,7355.0,7.48,98326.0
2016,1125.0,1.02,33873.0,30.65,3850.0,3.48,27996.0,25.33,4700.0,4.25,23116.0,20.92,6895.0,6.24,8960.0,8.11,110515.0
2017,1125.0,0.93,34873.0,28.94,3850.0,3.2,32496.0,26.97,4700.0,3.9,25329.0,21.02,7646.0,6.35,10462.0,8.68,120481.0
2018,725,0.58,34873,27.78,3795,3.02,33616,26.78,4700,3.74,26729,21.29,7684,6.12,13416,10.69,125538
2019,725.0,0.56,35873.0,27.67,3795.0,2.93,34567.0,26.66,4700.0,3.63,26729.0,20.62,8199.0,6.32,15052.0,11.61,129640.0
2020,725,0.54,36913,27.51,3795,2.83,35567,26.51,4700,3.5,26729,19.92,8479,6.32,17273,12.87,134181
2021,725.0,0.51,42713.0,30.01,2595.0,1.82,35567.0,24.99,4700.0,3.3,28129.0,19.76,8969.0,6.3,18920.0,13.29,142318.0
2022,725.0,0.49,43293.0,29.39,2595.0,1.76,35567.0,24.15,4700.0,3.19,30929.0,21.0,8969.0,6.09,20523.0,13.93,147301.0
2023,725.0,0.49,43293.0,29.15,2595.0,1.75,33767.0,22.74,4700.0,3.16,32329.0,21.77,8969.0,6.04,22141.0,14.91,148519.0
2024,725.0,0.49,43293.0,29.09,1195.0,0.8,33767.0,22.69,4700.0,3.16,32329.0,21.73,8969.0,6.03,23825.0,16.01,148803.0
2025,725,0.48,43293,28.66,1195,0.79,33767,22.35,4700,3.11,32329,21.4,8969,5.94,26098,17.27,151076
2026,725.0,0.47,43293.0,28.05,1195.0,0.77,33767.0,21.88,4700.0,3.05,33829.0,21.92,8969.0,5.81,27845.0,18.04,154323.0
2027,725.0,0.46,43293.0,27.5,1195.0,0.76,33767.0,21.45,4700.0,2.99,35329.0,22.44,8969.0,5.7,29469.0,18.72,157447.0
2028,725.0,0.45,43293.0,26.97,1195.0,0.74,33767.0,21.03,4700.0,2.93,36829.0,22.94,8969.0,5.59,31055.0,19.34,160533.0
2029,725,0.44,43293,26.42,1195,0.73,33767,20.61,4700,2.87,38329,23.39,8969,5.47,32890,20.07,163868
